Molecule,Property,Model,MAPD
R14,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,0.9687208086703403
R14,sim_liq_density,Opt R14,0.3894644041202311
R14,sim_liq_density,Literature,0.6355903394933683
R14,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,9.586411696027383
R14,sim_vap_density,Opt R14,5.512237651715535
R14,sim_vap_density,Literature,1.4126706755990055
R14,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,10.90843054838799
R14,sim_Pvap,Opt R14,5.516137559647505
R14,sim_Pvap,Literature,6.220810310766428
R14,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,1.179673022611161
R14,sim_Hvap,Opt R14,2.7286034287560423
R14,sim_Hvap,Literature,0.7181114469748391
R32,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,2.8603527529860506
R32,sim_liq_density,Opt R32,0.8749586334162358
R32,sim_liq_density,Literature,1.072463664952881
R32,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,21.203087091104997
R32,sim_vap_density,Opt R32,1.0888547857778448
R32,sim_vap_density,Literature,2.848932265723945
R32,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,20.541819879041253
R32,sim_Pvap,Opt R32,1.6181503732823657
R32,sim_Pvap,Literature,1.8467267017414486
R32,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,2.214644654126079
R32,sim_Hvap,Opt R32,0.829199808958744
R32,sim_Hvap,Literature,0.08743010799268704
R50,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,1.7668921925338077
R50,sim_liq_density,Opt R50,1.2074265211461175
R50,sim_liq_density,Literature,3.3426757308325796
R50,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,41.812484544923315
R50,sim_vap_density,Opt R50,2.5914934897614956
R50,sim_vap_density,Literature,0.9582916889554609
R50,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,36.42735646386369
R50,sim_Pvap,Opt R50,3.159019219416317
R50,sim_Pvap,Literature,2.1696842310022437
R50,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,4.484996939575724
R50,sim_Hvap,Opt R50,6.041606158418789
R50,sim_Hvap,Literature,2.742886376802255
R170,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,3.4801128839635744
R170,sim_liq_density,Opt R170,1.048885241944805
R170,sim_liq_density,Literature,1.9084939564226362
R170,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,5.143920710285528
R170,sim_vap_density,Opt R170,1.3210391716190295
R170,sim_vap_density,Literature,3.397694711432299
R170,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,4.192654497519614
R170,sim_Pvap,Opt R170,1.9466426110658048
R170,sim_Pvap,Literature,2.8542485023458557
R170,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,3.9355951853004862
R170,sim_Hvap,Opt R170,3.763121852609493
R170,sim_Hvap,Literature,2.07363351255792
R125,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,0.905340211896118
R125,sim_liq_density,Opt R125,0.1354436813462977
R125,sim_liq_density,Literature,1.2203901620478557
R125,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,1.6752322271692142
R125,sim_vap_density,Opt R125,1.7297623657132617
R125,sim_vap_density,Literature,9.919665087368497
R125,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,4.213666555409077
R125,sim_Pvap,Opt R125,1.1618658324396351
R125,sim_Pvap,Literature,8.740914904997096
R125,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,3.654928207180879
R125,sim_Hvap,Opt R125,3.912685867395572
R125,sim_Hvap,Literature,0.6067346476334883
R134a,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,0.703471932068461
R134a,sim_liq_density,Opt R134a,0.30612384897561334
R134a,sim_liq_density,Literature,0.3589495793113602
R134a,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,12.18011076421108
R134a,sim_vap_density,Opt R134a,3.4039126500211867
R134a,sim_vap_density,Literature,1.7737074003102045
R134a,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,10.796649190614557
R134a,sim_Pvap,Opt R134a,3.9465602328016485
R134a,sim_Pvap,Literature,2.5419391600058736
R134a,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,0.8295687039478089
R134a,sim_Hvap,Opt R134a,1.2008535436072258
R134a,sim_Hvap,Literature,0.4107724966456743
R143a,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,2.526737245577275
R143a,sim_liq_density,Opt R143a,1.9870425627119603
R143a,sim_liq_density,Literature,1.0707008821465358
R143a,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,9.908423054575794
R143a,sim_vap_density,Opt R143a,1.1362893475950129
R143a,sim_vap_density,Literature,1.5567245844728022
R143a,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,4.833894644776558
R143a,sim_Pvap,Opt R143a,2.0256240355779385
R143a,sim_Pvap,Literature,3.1085681065961266
R143a,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,7.458552189118875
R143a,sim_Hvap,Opt R143a,4.402200896604624
R143a,sim_Hvap,Literature,2.25055868872487
