molecule,mapd_liq_density,mapd_vap_density,mapd_Pvap,mapd_Hvap,Type
R14,0.6673670361305578,3.6802976022368643,5.818812318403817,1.0474821392112883,Opt_All
R32,3.8123310699802593,13.712960438018301,9.49824332210739,0.602848075824401,Opt_All
R50,3.2390872770464747,2.0481652651549034,3.279997667256101,3.9589529649582254,Opt_All
R170,1.5543762189129773,4.32336082590508,3.8982789535746005,2.6251154423094847,Opt_All
R125,2.0122420243247694,5.231719354464974,6.166641409921496,3.523802484020819,Opt_All
R134a,0.1970680114713214,5.699021725522844,5.288551700368043,2.480187175129396,Opt_All
R143a,2.44002590000971,1.2305787782082491,1.8739177830538516,4.47413893200196,Opt_All
R14,0.28732606544656564,1.849313814308242,1.588711945577404,1.5990340959976805,Opt_One
R32,0.28413713095086945,0.4296845089483592,0.6187536498761391,0.6922067229596028,Opt_One
R50,1.0923174236913964,0.3031916756571501,1.7607350645844522,3.3666736229651417,Opt_One
R170,0.9820937034188671,1.05150699367189,2.2609690616393325,3.528089411312655,Opt_One
R125,0.37643602306833585,1.5693538848445476,1.9495237331703485,1.1851842319418537,Opt_One
R134a,0.6679130030963858,0.5925659836376244,0.6594586315469328,2.5054511049271184,Opt_One
R143a,0.32341004337408596,0.7012847868427802,2.25543029684673,3.1269115561279426,Opt_One
R14,0.6117128809127378,1.6525987341680621,6.244527769818592,0.7182643936869869,Literature
R32,1.0724809366298087,2.025986811441818,1.8938938183889802,0.07051329971285672,Literature
R50,3.3311181000190753,0.7755364058016898,2.09289318326476,2.7818754880276426,Literature
R170,1.9253838725161052,2.740039657340543,2.876524027765325,2.056883704944747,Literature
R125,1.2203965781644792,7.943790939091105,10.281083274558164,0.6075905054369125,Literature
R134a,0.36738085400590786,1.6361571423825925,2.507469979578894,0.4159900237378537,Literature
R143a,1.0848459051625203,3.1101843618919314,3.084807717710513,2.255552059524658,Literature
