sigma_C1,sigma_H1,epsilon_C1,epsilon_H1,temperature
0.8306849112408812,0.6583189493714994,0.6244946801296389,0.7208466374375474,0.75
0.8396191135707828,0.6230497719387955,0.953700511505431,0.03481654746251673,0.75
0.8669853360192672,0.6477094927513048,0.6286563529498935,0.6918818619817986,0.5
0.684862786878878,0.8169447651824274,0.9826457867807942,0.5987266929295345,0.5
0.88935923795868,0.48041908402555605,0.6071851883017825,0.6932235396663873,0.0
0.7959941353703375,0.712900001050572,0.5655808670879966,0.999354917689717,0.75
0.7952363865458297,0.6988565543210307,0.7354841224199089,0.5739781744559391,0.0
0.6778347864923855,0.7852637913172813,0.8213999196228089,0.9411673281835474,0.5
0.9102032880874965,0.2475735016523854,0.8423950164846368,0.4017846826468687,1.0
0.8766470756015196,0.6067461551517933,0.7108937239697551,0.3869989720341264,0.0
0.8791444459168195,0.5868128667596134,0.7886786402264147,0.2398170334185145,1.0
0.7785629377142166,0.6984930386983522,0.6416042619075762,0.848984364999021,0.0
0.6736524870244656,0.8012155005079915,0.988179841886915,0.5832941676183135,0.0
0.8274984718475566,0.6818572169639527,0.8708457462772492,0.2384666375894303,0.75
0.7825060162343416,0.7424399466631528,0.9350197890290053,0.23619782143447443,1.0
0.8396191135707828,0.6230497719387955,0.953700511505431,0.03481654746251673,0.25
0.9291870681432742,0.3608291425531028,0.5732794643898027,0.9719358190846866,0.0
0.808796426117759,0.6335142159023094,0.9094734081002378,0.15085239202679787,0.0
0.5948129740987117,0.7778243404466666,0.9667882691482408,0.9769787969625011,1.0
0.7959941353703375,0.712900001050572,0.5655808670879966,0.999354917689717,1.0
0.8312504014719171,0.6775666033120492,0.8053301984686145,0.3128175206296239,0.0
0.7258208060825221,0.7674043477619554,0.8859405966309885,0.5288229502662214,0.0
0.7231084262264128,0.7697226236443927,0.9075241757261786,0.48895996566335265,0.0
0.7231084262264128,0.7697226236443927,0.9075241757261786,0.48895996566335265,0.5
0.7231084262264128,0.7697226236443927,0.9075241757261786,0.48895996566335265,0.75
0.7901487449909821,0.6984473168030053,0.7610079194027428,0.5117652393660368,0.5
0.8791444459168195,0.5868128667596134,0.7886786402264147,0.2398170334185145,0.75
0.929823734262568,0.36531216701984004,0.7755231223598321,0.4191257422875128,0.0
0.7992014805625066,0.7244972766892479,0.8863808159412843,0.27405057728414456,0.0
0.8274984718475566,0.6818572169639527,0.8708457462772492,0.2384666375894303,0.25
0.7720530261512961,0.7084768917671926,0.9881414344565773,0.1477804169579747,0.0
0.7720530261512961,0.7084768917671926,0.9881414344565773,0.1477804169579747,0.75
0.9064696181853557,0.5485292187700394,0.537094326448733,0.8156537488318163,0.5
0.745870474022433,0.781073819444844,0.9736991762537673,0.3233227065182692,0.75
0.7825060162343416,0.7424399466631528,0.9350197890290053,0.23619782143447443,0.75
0.8592133457188608,0.6640026208611921,0.6718768935509477,0.5166669799799584,0.75
0.929823734262568,0.36531216701984004,0.7755231223598321,0.4191257422875128,0.25
0.7889494276542557,0.7133752000883041,0.6032298075391959,0.9626215916728522,0.0
0.9220442780937346,0.4182864785137567,0.5360229168682074,0.9651126396937799,0.25
0.7028951782144987,0.776942701910154,0.8769699774020602,0.6769743439145738,0.0
0.8898703375626181,0.4215999137541641,0.7314750512300449,0.40865080219996913,1.0
0.8688857462802101,0.6556550916527554,0.9988462794524926,0.011976672937412015,0.75
0.8791444459168195,0.5868128667596134,0.7886786402264147,0.2398170334185145,0.0
0.8688857462802101,0.6556550916527554,0.9988462794524926,0.011976672937412015,1.0
0.9050076489152716,0.544290990605872,0.6491988336011243,0.5196485912208452,0.25
0.7499618437550686,0.7978139350148882,0.9514294991820506,0.3380059516401878,0.5
0.7482465532343301,0.7490156891559013,0.7291246701508975,0.7564764503925574,0.5
0.706171412956874,0.7483379497086919,0.7897825893583776,0.7521056514595426,1.0
0.6520757867927182,0.7750980620988415,0.9619452610208964,0.6997270896092354,0.0
0.8927889044943875,0.6257659599900434,0.4769617591946256,0.9889911092202253,0.0
0.6778347864923855,0.7852637913172813,0.8213999196228089,0.9411673281835474,0.0
0.7997418089072577,0.682316145839526,0.7585763364417759,0.4913884351609197,0.5
0.8791444459168195,0.5868128667596134,0.7886786402264147,0.2398170334185145,0.25
0.7482465532343301,0.7490156891559013,0.7291246701508975,0.7564764503925574,1.0
0.8927889044943875,0.6257659599900434,0.4769617591946256,0.9889911092202253,0.75
0.7410912355330911,0.7218877202492268,0.665347927866244,0.9267621473271,0.75
0.9284381958212172,0.4831388251184375,0.605617729617443,0.7366842164651045,0.5
0.8688857462802101,0.6556550916527554,0.9988462794524926,0.011976672937412015,0.0
0.7889494276542557,0.7133752000883041,0.6032298075391959,0.9626215916728522,0.75
0.877393850687976,0.5593354734063207,0.7148059954987593,0.4181804931033136,0.5
0.877393850687976,0.5593354734063207,0.7148059954987593,0.4181804931033136,0.25
0.808796426117759,0.6335142159023094,0.9094734081002378,0.15085239202679787,0.25
0.9291870681432742,0.3608291425531028,0.5732794643898027,0.9719358190846866,0.75
0.9102032880874965,0.2475735016523854,0.8423950164846368,0.4017846826468687,0.5
0.9291870681432742,0.3608291425531028,0.5732794643898027,0.9719358190846866,0.25
0.9284381958212172,0.4831388251184375,0.605617729617443,0.7366842164651045,0.25
0.83654927022789,0.6577659536954961,0.5458959673121458,0.9173050698015065,1.0
0.8181325234548783,0.7321513934986059,0.8219247663251463,0.36211709308935985,0.5
0.8306849112408812,0.6583189493714994,0.6244946801296389,0.7208466374375474,0.5
0.7873500506548335,0.7334822552287367,0.8296089520840139,0.38875205011920405,0.0
0.7952363865458297,0.6988565543210307,0.7354841224199089,0.5739781744559391,1.0
0.8396191135707828,0.6230497719387955,0.953700511505431,0.03481654746251673,0.5
0.7410912355330911,0.7218877202492268,0.665347927866244,0.9267621473271,0.5
0.9284381958212172,0.4831388251184375,0.605617729617443,0.7366842164651045,1.0
0.8688857462802101,0.6556550916527554,0.9988462794524926,0.011976672937412015,0.25
0.9220442780937346,0.4182864785137567,0.5360229168682074,0.9651126396937799,0.75
0.8592133457188608,0.6640026208611921,0.6718768935509477,0.5166669799799584,0.5
0.8181325234548783,0.7321513934986059,0.8219247663251463,0.36211709308935985,0.75
0.8306849112408812,0.6583189493714994,0.6244946801296389,0.7208466374375474,1.0
0.7873500506548335,0.7334822552287367,0.8296089520840139,0.38875205011920405,0.75
0.877393850687976,0.5593354734063207,0.7148059954987593,0.4181804931033136,0.0
